Target Geo Id 2010,Target Geo Id2 2010,Geographical Area,MSA,Population 2010,Housing units 2010,Area in square miles - Total area 2010,Area in square miles - Water area 2010,Area in square miles - Land area 2010,Density per square mile of land area - Population 2010,Density per square mile of land area - Housing units 2010
310M100US15380,15380,"United States - In metropolitan statistical area - Buffalo-Niagara Falls, NY MSA","Buffalo-Niagara Falls, NY MSA",1135509,519094,2366.52,801.47,1565.05,725.5,331.7
310M100US15500,15500,"United States - In metropolitan statistical area - Burlington, NC MSA","Burlington, NC MSA",151131,66576,434.74,10.79,423.94,356.5,157
310M100US15540,15540,"United States - In metropolitan statistical area - Burlington-South Burlington, VT MSA","Burlington-South Burlington, VT MSA",211261,92358,1505.95,253.85,1252.1,168.7,73.8
310M100US15940,15940,"United States - In metropolitan statistical area - Canton-Massillon, OH MSA","Canton-Massillon, OH MSA",404422,178913,979.46,9.58,969.88,417,184.5
310M100US15980,15980,"United States - In metropolitan statistical area - Cape Coral-Fort Myers, FL MSA","Cape Coral-Fort Myers, FL MSA",618754,371099,1212.46,427.95,784.51,788.7,473
310M100US16020,16020,"United States - In metropolitan statistical area - Cape Girardeau-Jackson, MO-IL MSA","Cape Girardeau-Jackson, MO-IL MSA",96275,42500,1460.12,28.17,1431.95,67.2,29.7
310M100US16180,16180,"United States - In metropolitan statistical area - Carson City, NV MSA","Carson City, NV MSA",55274,23534,157.24,12.58,144.66,382.1,162.7
310M100US16220,16220,"United States - In metropolitan statistical area - Casper, WY MSA","Casper, WY MSA",75450,33807,5375.66,35.31,5340.35,14.1,6.3
310M100US16300,16300,"United States - In metropolitan statistical area - Cedar Rapids, IA MSA","Cedar Rapids, IA MSA",257940,112257,2020,11.23,2008.77,128.4,55.9
310M100US16580,16580,"United States - In metropolitan statistical area - Champaign-Urbana, IL MSA","Champaign-Urbana, IL MSA",231891,101120,1924.1,3.01,1921.08,120.7,52.6
310M100US16620,16620,"United States - In metropolitan statistical area - Charleston, WV MSA","Charleston, WV MSA",304284,141585,2546.92,19.18,2527.74,120.4,56
310M100US16700,16700,"United States - In metropolitan statistical area - Charleston-North Charleston-Summerville, SC MSA","Charleston-North Charleston-Summerville, SC MSA",664607,298542,3163.04,574.86,2588.18,256.8,115.3
310M100US16740,16740,"United States - In metropolitan statistical area - Charlotte-Gastonia-Rock Hill, NC-SC MSA","Charlotte-Gastonia-Rock Hill, NC-SC MSA",1758038,737775,3146.9,61.72,3085.19,569.8,239.1
