MSA,Target Geo Id2,Population 1990,Population 1991,Population 1992,Population 1993,Population 1994,Population 1995,Population 1996,Population 1997,Population 1998,Population 1999,Population 2000, Population 2001, Population 2002, Population 2003, Population 2004, Population 2005, Population 2006, Population 2007, Population 2008, Population 2009,Population 2010,Density 1990,Density 1991,Density 1992,Density 1993,Density 1994,Density 1995,Density 1996,Density 1997,Density 1998,Density 1999,Density 2000,Density 2001,Density 2002,Density 2003,Density 2004,Density 2005,Density 2006,Density 2007,Density 2008,Density 2009,Density 2010
"Pittsfield, MA MSA",38340,79250,79794.9,80339.8,80884.7,81429.6,81974.5,82519.4,83064.3,83609.2,84154.1,84699,89351,94003,98655,103307,107959,112611,117263,121915,126567,131219,346.2,345.22,344.24,343.26,342.28,341.3,340.32,339.34,338.36,337.38,336.4,316.92,297.44,277.96,258.48,239,219.52,200.04,180.56,161.08,141.6
"Pocatello, ID MSA",38540,,,,,,,,,,,75565,77074.1,78583.2,80092.3,81601.4,83110.5,84619.6,86128.7,87637.8,89146.9,90656,,,,,,,,,,,67.9,64.71,61.52,58.33,55.14,51.95,48.76,45.57,42.38,39.19,36
"Ponce, PR MSA",38660,,,,,,,,,,,361094,349299.3,337504.6,325709.9,313915.2,302120.5,290325.8,278531.1,266736.4,254941.7,243147,,,,,,,,,,,988.4,1004.97,1021.54,1038.11,1054.68,1071.25,1087.82,1104.39,1120.96,1137.53,1154.1
"Portland, ME MSA",,215281,218106.6,220932.2,223757.8,226583.4,229409,232234.6,235060.2,237885.8,240711.4,243537,,,,,,,,,,,389.2,389.17,389.14,389.11,389.08,389.05,389.02,388.99,388.96,388.93,388.9,,,,,,,,,,
"Portland--Salem, OR--WA CMSA",,,,,,,,,,,,2265223,,,,,,,,,,,,,,,,,,,,,325.8,,,,,,,,,,
"Portland--Vancouver, OR--WA PMSA",38900,1477895,1521906.4,1565917.8,1609929.2,1653940.6,1697952,1741963.4,1785974.8,1829986.2,1873997.6,1918009,1948809,1979609,2010409,2041209,2072009,2102809,2133609,2164409,2195209,2226009,338.1,342.44,346.78,351.12,355.46,359.8,364.14,368.48,372.82,377.16,381.5,376.65,371.8,366.95,362.1,357.25,352.4,347.55,342.7,337.85,333
"Portsmouth--Rochester, NH--ME PMSA",,223578,225290,227002,228714,230426,232138,233850,235562,237274,238986,240698,,,,,,,,,,,343.5,347.5,351.5,355.5,359.5,363.5,367.5,371.5,375.5,379.5,383.5,,,,,,,,,,
"Providence--Fall River--Warwick, RI--MA MSA",39300,1141510,1146220.3,1150930.6,1155640.9,1160351.2,1165061.5,1169771.8,1174482.1,1179192.4,1183902.7,1188613,1229836.9,1271060.8,1312284.7,1353508.6,1394732.5,1435956.4,1477180.3,1518404.2,1559628.1,1600852,1056.3,1054.82,1053.34,1051.86,1050.38,1048.9,1047.42,1045.94,1044.46,1042.98,1041.5,1038.23,1034.96,1031.69,1028.42,1025.15,1021.88,1018.61,1015.34,1012.07,1008.8
"Provo--Orem, UT MSA",39340,263590,274084.6,284579.2,295073.8,305568.4,316063,326557.6,337052.2,347546.8,358041.4,368536,384363.4,400190.8,416018.2,431845.6,447673,463500.4,479327.8,495155.2,510982.6,526810,131.9,137.15,142.4,147.65,152.9,158.15,163.4,168.65,173.9,179.15,184.4,175.72,167.04,158.36,149.68,141,132.32,123.64,114.96,106.28,97.6
"Pueblo, CO MSA",39380,123051,124893.1,126735.2,128577.3,130419.4,132261.5,134103.6,135945.7,137787.8,139629.9,141472,143231.1,144990.2,146749.3,148508.4,150267.5,152026.6,153785.7,155544.8,157303.9,159063,51.5,52.27,53.04,53.81,54.58,55.35,56.12,56.89,57.66,58.43,59.2,59.95,60.7,61.45,62.2,62.95,63.7,64.45,65.2,65.95,66.7
"Punta Gorda, FL MSA",39460,,,,,,,,,,,141627,143462.1,145297.2,147132.3,148967.4,150802.5,152637.6,154472.7,156307.8,158142.9,159978,,,,,,,,,,,204.2,207.3,210.4,213.5,216.6,219.7,222.8,225.9,229,232.1,235.2
"Racine, WI PMSA",39540,175034,176413.7,177793.4,179173.1,180552.8,181932.5,183312.2,184691.9,186071.6,187451.3,188831,189488.7,190146.4,190804.1,191461.8,192119.5,192777.2,193434.9,194092.6,194750.3,195408,525.4,529.55,533.7,537.85,542,546.15,550.3,554.45,558.6,562.75,566.9,568.98,571.06,573.14,575.22,577.3,579.38,581.46,583.54,585.62,587.7
"Raleigh--Durham--Chapel Hill, NC MSA",39580,735480,780726.1,825972.2,871218.3,916464.4,961710.5,1006956.6,1052202.7,1097448.8,1142694.9,1187941,1182195.9,1176450.8,1170705.7,1164960.6,1159215.5,1153470.4,1147725.3,1141980.2,1136235.1,1130490,364.8,362.37,359.94,357.51,355.08,352.65,350.22,347.79,345.36,342.93,340.5,359.82,379.14,398.46,417.78,437.1,456.42,475.74,495.06,514.38,533.7
"Rapid City, SD MSA",39660,81343,82065.2,82787.4,83509.6,84231.8,84954,85676.2,86398.4,87120.6,87842.8,88565,92346.7,96128.4,99910.1,103691.8,107473.5,111255.2,115036.9,118818.6,122600.3,126382,29.3,29.56,29.82,30.08,30.34,30.6,30.86,31.12,31.38,31.64,31.9,30.73,29.56,28.39,27.22,26.05,24.88,23.71,22.54,21.37,20.2
"Reading, PA MSA",39740,336523,340234.5,343946,347657.5,351369,355080.5,358792,362503.5,366215,369926.5,373638,377418.4,381198.8,384979.2,388759.6,392540,396320.4,400100.8,403881.2,407661.6,411442,391.7,396.03,400.36,404.69,409.02,413.35,417.68,422.01,426.34,430.67,435,439.54,444.08,448.62,453.16,457.7,462.24,466.78,471.32,475.86,480.4
"Redding, CA MSA",39820,147036,148658,150280,151902,153524,155146,156768,158390,160012,161634,163256,164652.7,166049.4,167446.1,168842.8,170239.5,171636.2,173032.9,174429.6,175826.3,177223,38.8,39.23,39.66,40.09,40.52,40.95,41.38,41.81,42.24,42.67,43.1,43.48,43.86,44.24,44.62,45,45.38,45.76,46.14,46.52,46.9
"Reno, NV MSA",39900,254667,263148.9,271630.8,280112.7,288594.6,297076.5,305558.4,314040.3,322522.2,331004.1,339486,348079.1,356672.2,365265.3,373858.4,382451.5,391044.6,399637.7,408230.8,416823.9,425417,40.2,41.53,42.86,44.19,45.52,46.85,48.18,49.51,50.84,52.17,53.5,54.63,55.76,56.89,58.02,59.15,60.28,61.41,62.54,63.67,64.8
"Richland--Kennewick--Pasco, WA MSA",,150033,154211.9,158390.8,162569.7,166748.6,170927.5,175106.4,179285.3,183464.2,187643.1,191822,,,,,,,,,,,50.9,52.32,53.74,55.16,56.58,58,59.42,60.84,62.26,63.68,65.1,,,,,,,,,,
"Richmond--Petersburg, VA MSA",40060,865640,878727.2,891814.4,904901.6,917988.8,931076,944163.2,957250.4,970337.6,983424.8,996512,1022685.9,1048859.8,1075033.7,1101207.6,1127381.5,1153555.4,1179729.3,1205903.2,1232077.1,1258251,294,298.44,302.88,307.32,311.76,316.2,320.64,325.08,329.52,333.96,338.4,326.69,314.98,303.27,291.56,279.85,268.14,256.43,244.72,233.01,221.3
"Riverside--San Bernardino, CA PMSA",40140,2588793,2655395.8,2721998.6,2788601.4,2855204.2,2921807,2988409.8,3055012.6,3121615.4,3188218.2,3254821,3351824,3448827,3545830,3642833,3739836,3836839,3933842,4030845,4127848,4224851,94.9,97.35,99.8,102.25,104.7,107.15,109.6,112.05,114.5,116.95,119.4,122.96,126.52,130.08,133.64,137.2,140.76,144.32,147.88,151.44,155
"Roanoke, VA MSA",40220,224477,225622.5,226768,227913.5,229059,230204.5,231350,232495.5,233641,234786.5,235932,243209.5,250487,257764.5,265042,272319.5,279597,286874.5,294152,301429.5,308707,263.8,265.14,266.48,267.82,269.16,270.5,271.84,273.18,274.52,275.86,277.2,266,254.8,243.6,232.4,221.2,210,198.8,187.6,176.4,165.2
"Rochester, MN MSA",40340,106470,108250.7,110031.4,111812.1,113592.8,115373.5,117154.2,118934.9,120715.6,122496.3,124277,130450.4,136623.8,142797.2,148970.6,155144,161317.4,167490.8,173664.2,179837.6,186011,163,165.73,168.46,171.19,173.92,176.65,179.38,182.11,184.84,187.57,190.3,182.78,175.26,167.74,160.22,152.7,145.18,137.66,130.14,122.62,115.1
"Rochester, NY MSA",40380,1002410,1011989.1,1021568.2,1031147.3,1040726.4,1050305.5,1059884.6,1069463.7,1079042.8,1088621.9,1098201,1093813.2,1089425.4,1085037.6,1080649.8,1076262,1071874.2,1067486.4,1063098.6,1058710.8,1054323,341.9,339.77,337.64,335.51,333.38,331.25,329.12,326.99,324.86,322.73,320.6,324.55,328.5,332.45,336.4,340.35,344.3,348.25,352.2,356.15,360.1
"Rockford, IL MSA",40420,283719,292470.7,301222.4,309974.1,318725.8,327477.5,336229.2,344980.9,353732.6,362484.3,371236,369055.5,366875,364694.5,362514,360333.5,358153,355972.5,353792,351611.5,349431,356.8,345.01,333.22,321.43,309.64,297.85,286.06,274.27,262.48,250.69,238.9,259.01,279.12,299.23,319.34,339.45,359.56,379.67,399.78,419.89,440
"Rocky Mount, NC MSA",40580,,,,,,,,,,,143026,143962.6,144899.2,145835.8,146772.4,147709,148645.6,149582.2,150518.8,151455.4,152392,,,,,,,,,,,136.8,137.69,138.58,139.47,140.36,141.25,142.14,143.03,143.92,144.81,145.7
"Sacramento, CA PMSA",,1481102,1495811.5,1510521,1525230.5,1539940,1554649.5,1569359,1584068.5,1598778,1613487.5,1628197,,,,,,,,,,,290.8,301.62,312.44,323.26,334.08,344.9,355.72,366.54,377.36,388.18,399,,,,,,,,,,
"Sacramento--Yolo, CA CMSA",40900,,,,,,,,,,,1796857,1832084,1867311,1902538,1937765,1972992,2008219,2043446,2078673,2113900,2149127,,,,,,,,,,,352.7,359.62,366.54,373.46,380.38,387.3,394.22,401.14,408.06,414.98,421.9
"Saginaw--Bay City--Midland, MI MSA",40980,399320,399695,400070,400445,400820,401195,401570,401945,402320,402695,403070,382779.9,362489.8,342199.7,321909.6,301619.5,281329.4,261039.3,240749.2,220459.1,200169,225,225.22,225.44,225.66,225.88,226.1,226.32,226.54,226.76,226.98,227.2,229.5,231.8,234.1,236.4,238.7,241,243.3,245.6,247.9,250.2
"Salem, OR PMSA",41420,278024,284943,291862,298781,305700,312619,319538,326457,333376,340295,347214,351566.4,355918.8,360271.2,364623.6,368976,373328.4,377680.8,382033.2,386385.6,390738,144.3,147.91,151.52,155.13,158.74,162.35,165.96,169.57,173.18,176.79,180.4,182.68,184.96,187.24,189.52,191.8,194.08,196.36,198.64,200.92,203.2
"Salinas, CA MSA",41500,355660,360270.2,364880.4,369490.6,374100.8,378711,383321.2,387931.4,392541.6,397151.8,401762,403091.5,404421,405750.5,407080,408409.5,409739,411068.5,412398,413727.5,415057,107.1,108.48,109.86,111.24,112.62,114,115.38,116.76,118.14,119.52,120.9,121.46,122.02,122.58,123.14,123.7,124.26,124.82,125.38,125.94,126.5
"Salt Lake City--Ogden, UT MSA",41620,1072227,1098395.7,1124564.4,1150733.1,1176901.8,1203070.5,1229239.2,1255407.9,1281576.6,1307745.3,1333914,1312942.3,1291970.6,1270998.9,1250027.2,1229055.5,1208083.8,1187112.1,1166140.4,1145168.7,1124197,662.9,679.08,695.26,711.44,727.62,743.8,759.98,776.16,792.34,808.52,824.7,754,683.3,612.6,541.9,471.2,400.5,329.8,259.1,188.4,117.7
"San Angelo, TX MSA",41660,98458,99013.2,99568.4,100123.6,100678.8,101234,101789.2,102344.4,102899.6,103454.8,104010,104791.3,105572.6,106353.9,107135.2,107916.5,108697.8,109479.1,110260.4,111041.7,111823,64.7,65.06,65.42,65.78,66.14,66.5,66.86,67.22,67.58,67.94,68.3,65.82,63.34,60.86,58.38,55.9,53.42,50.94,48.46,45.98,43.5
"San Antonio, TX MSA",41700,1302099,1331127.4,1360155.8,1389184.2,1418212.6,1447241,1476269.4,1505297.8,1534326.2,1563354.6,1592383,1647395.5,1702408,1757420.5,1812433,1867445.5,1922458,1977470.5,2032483,2087495.5,2142508,516.8,512.99,509.18,505.37,501.56,497.75,493.94,490.13,486.32,482.51,478.7,460.13,441.56,422.99,404.42,385.85,367.28,348.71,330.14,311.57,293
"San Diego, CA MSA",41740,2498016,2529597.7,2561179.4,2592761.1,2624342.8,2655924.5,2687506.2,2719087.9,2750669.6,2782251.3,2813833,2841981,2870129,2898277,2926425,2954573,2982721,3010869,3039017,3067165,3095313,594.1,601.69,609.28,616.87,624.46,632.05,639.64,647.23,654.82,662.41,670,676.58,683.16,689.74,696.32,702.9,709.48,716.06,722.64,729.22,735.8
"San Francisco, CA PMSA",,1603678,1616428.5,1629179,1641929.5,1654680,1667430.5,1680181,1692931.5,1705682,1718432.5,1731183,,,,,,,,,,,1579.1,1591.66,1604.22,1616.78,1629.34,1641.9,1654.46,1667.02,1679.58,1692.14,1704.7,,,,,,,,,,
"San Francisco--Oakland--San Jose, CA CMSA",,6253311,6331916.1,6410521.2,6489126.3,6567731.4,6646336.5,6724941.6,6803546.7,6882151.8,6960756.9,7039362,,,,,,,,,,,848.7,859.37,870.04,880.71,891.38,902.05,912.72,923.39,934.06,944.73,955.4,,,,,,,,,,
"San Jose, CA PMSA",41940,1497577,1516077.8,1534578.6,1553079.4,1571580.2,1590081,1608581.8,1627082.6,1645583.4,1664084.2,1682585,1698017.6,1713450.2,1728882.8,1744315.4,1759748,1775180.6,1790613.2,1806045.8,1821478.4,1836911,1159.8,1174.18,1188.56,1202.94,1217.32,1231.7,1246.08,1260.46,1274.84,1289.22,1303.6,1241.81,1180.02,1118.23,1056.44,994.65,932.86,871.07,809.28,747.49,685.7
"San Juan--Bayamón, PR PMSA",,,,,,,,,,,,1967627,,,,,,,,,,,,,,,,,,,,,1979.2,,,,,,,,,,
"San Juan--Caguas--Arecibo, PR CMSA",41980,,,,,,,,,,,2450292,2453153.3,2456014.6,2458875.9,2461737.2,2464598.5,2467459.8,2470321.1,2473182.4,2476043.7,2478905,,,,,,,,,,,1706.4,1691.67,1676.94,1662.21,1647.48,1632.75,1618.02,1603.29,1588.56,1573.83,1559.1
"San Luis Obispo--Atascadero--Paso Robles, CA MSA",42020,,,,,,,,,,,246681,248976.6,251272.2,253567.8,255863.4,258159,260454.6,262750.2,265045.8,267341.4,269637,,,,,,,,,,,74.7,75.4,76.1,76.8,77.5,78.2,78.9,79.6,80.3,81,81.7
"Santa Barbara--Santa Maria--Lompoc, CA MSA",42060,369608,372581.9,375555.8,378529.7,381503.6,384477.5,387451.4,390425.3,393399.2,396373.1,399347,401801.8,404256.6,406711.4,409166.2,411621,414075.8,416530.6,418985.4,421440.2,423895,135,136.09,137.18,138.27,139.36,140.45,141.54,142.63,143.72,144.81,145.9,146.81,147.72,148.63,149.54,150.45,151.36,152.27,153.18,154.09,155
"Santa Cruz--Watsonville, CA PMSA",42100,229734,232320.8,234907.6,237494.4,240081.2,242668,245254.8,247841.6,250428.4,253015.2,255602,256280,256958,257636,258314,258992,259670,260348,261026,261704,262382,515.5,521.36,527.22,533.08,538.94,544.8,550.66,556.52,562.38,568.24,574.1,575.63,577.16,578.69,580.22,581.75,583.28,584.81,586.34,587.87,589.4
"Santa Fe, NM MSA",42140,117043,120102.2,123161.4,126220.6,129279.8,132339,135398.2,138457.4,141516.6,144575.8,147635,147288.5,146942,146595.5,146249,145902.5,145556,145209.5,144863,144516.5,144170,58,59.51,61.02,62.53,64.04,65.55,67.06,68.57,70.08,71.59,73.1,73.34,73.58,73.82,74.06,74.3,74.54,74.78,75.02,75.26,75.5
"Santa Rosa, CA PMSA",42220,388222,395261.2,402300.4,409339.6,416378.8,423418,430457.2,437496.4,444535.6,451574.8,458614,461140.4,463666.8,466193.2,468719.6,471246,473772.4,476298.8,478825.2,481351.6,483878,246.3,250.77,255.24,259.71,264.18,268.65,273.12,277.59,282.06,286.53,291,292.61,294.22,295.83,297.44,299.05,300.66,302.27,303.88,305.49,307.1
"Sarasota--Bradenton, FL MSA",,277776,308994.3,340212.6,371430.9,402649.2,433867.5,465085.8,496304.1,527522.4,558740.7,589959,,,,,,,,,,,485.8,482.17,478.54,474.91,471.28,467.65,464.02,460.39,456.76,453.13,449.5,,,,,,,,,,
"Savannah, GA MSA",42340,242622,247659.8,252697.6,257735.4,262773.2,267811,272848.8,277886.6,282924.4,287962.2,293000,298461.1,303922.2,309383.3,314844.4,320305.5,325766.6,331227.7,336688.8,342149.9,347611,263.8,258.98,254.16,249.34,244.52,239.7,234.88,230.06,225.24,220.42,215.6,219.98,224.36,228.74,233.12,237.5,241.88,246.26,250.64,255.02,259.4
"Scranton--Wilkes-Barre--Hazleton, PA MSA",42540,734175,723235.1,712295.2,701355.3,690415.4,679475.5,668535.6,657595.7,646655.8,635715.9,624776,618661.5,612547,606432.5,600318,594203.5,588089,581974.5,575860,569745.5,563631,258.5,260.64,262.78,264.92,267.06,269.2,271.34,273.48,275.62,277.76,279.9,284.18,288.46,292.74,297.02,301.3,305.58,309.86,314.14,318.42,322.7
"Seattle--Bellevue--Everett, WA PMSA",42660,1972961,2017126.5,2061292,2105457.5,2149623,2193788.5,2237954,2282119.5,2326285,2370450.5,2414616,2517135.3,2619654.6,2722173.9,2824693.2,2927212.5,3029731.8,3132251.1,3234770.4,3337289.7,3439809,467.9,475.7,483.5,491.3,499.1,506.9,514.7,522.5,530.3,538.1,545.9,549.89,553.88,557.87,561.86,565.85,569.84,573.83,577.82,581.81,585.8
"Seattle--Tacoma--Bremerton, WA CMSA",,2559164,2658723.6,2758283.2,2857842.8,2957402.4,3056962,3156521.6,3256081.2,3355640.8,3455200.4,3554760,,,,,,,,,,,434.4,440.16,445.92,451.68,457.44,463.2,468.96,474.72,480.48,486.24,492,,,,,,,,,,
"Sharon, PA MSA",,121003,120932,120861,120790,120719,120648,120577,120506,120435,120364,120293,,,,,,,,,,,180.1,180,179.9,179.8,179.7,179.6,179.5,179.4,179.3,179.2,179.1,,,,,,,,,,
"Sheboygan, WI MSA",43100,103877,104753.9,105630.8,106507.7,107384.6,108261.5,109138.4,110015.3,110892.2,111769.1,112646,112932.1,113218.2,113504.3,113790.4,114076.5,114362.6,114648.7,114934.8,115220.9,115507,202.2,203.91,205.62,207.33,209.04,210.75,212.46,214.17,215.88,217.59,219.3,219.96,220.62,221.28,221.94,222.6,223.26,223.92,224.58,225.24,225.9
"Sherman--Denison, TX MSA",43300,95021,96578.4,98135.8,99693.2,101250.6,102808,104365.4,105922.8,107480.2,109037.6,110595,111623.2,112651.4,113679.6,114707.8,115736,116764.2,117792.4,118820.6,119848.8,120877,101.8,103.47,105.14,106.81,108.48,110.15,111.82,113.49,115.16,116.83,118.5,119.61,120.72,121.83,122.94,124.05,125.16,126.27,127.38,128.49,129.6
"Shreveport--Bossier City, LA MSA",43340,334341,340137.1,345933.2,351729.3,357525.4,363321.5,369117.6,374913.7,380709.8,386505.9,392302,392932.2,393562.4,394192.6,394822.8,395453,396083.2,396713.4,397343.6,397973.8,398604,194.3,191.81,189.32,186.83,184.34,181.85,179.36,176.87,174.38,171.89,169.4,167.83,166.26,164.69,163.12,161.55,159.98,158.41,156.84,155.27,153.7
"Sioux City, IA--NE MSA",43580,115018,115929.2,116840.4,117751.6,118662.8,119574,120485.2,121396.4,122307.6,123218.8,124130,126074.7,128019.4,129964.1,131908.8,133853.5,135798.2,137742.9,139687.6,141632.3,143577,101.2,102,102.8,103.6,104.4,105.2,106,106.8,107.6,108.4,109.2,105.2,101.2,97.2,93.2,89.2,85.2,81.2,77.2,73.2,69.2
"Sioux Falls, SD MSA",43620,123809,128669.3,133529.6,138389.9,143250.2,148110.5,152970.8,157831.1,162691.4,167551.7,172412,177996.9,183581.8,189166.7,194751.6,200336.5,205921.4,211506.3,217091.2,222676.1,228261,153,150.12,147.24,144.36,141.48,138.6,135.72,132.84,129.96,127.08,124.2,120.64,117.08,113.52,109.96,106.4,102.84,99.28,95.72,92.16,88.6
"South Bend, IN MSA",43780,247052,248902.7,250753.4,252604.1,254454.8,256305.5,258156.2,260006.9,261857.6,263708.3,265559,270925.5,276292,281658.5,287025,292391.5,297758,303124.5,308491,313857.5,319224,540.2,544.25,548.3,552.35,556.4,560.45,564.5,568.55,572.6,576.65,580.7,556.31,531.92,507.53,483.14,458.75,434.36,409.97,385.58,361.19,336.8
"Spokane, WA MSA",44060,361364,367021.5,372679,378336.5,383994,389651.5,395309,400966.5,406624,412281.5,417939,423267.2,428595.4,433923.6,439251.8,444580,449908.2,455236.4,460564.6,465892.8,471221,204.9,208.11,211.32,214.53,217.74,220.95,224.16,227.37,230.58,233.79,237,240.02,243.04,246.06,249.08,252.1,255.12,258.14,261.16,264.18,267.2
"Springfield, IL MSA",44100,189550,190738.7,191927.4,193116.1,194304.8,195493.5,196682.2,197870.9,199059.6,200248.3,201437,202310.3,203183.6,204056.9,204930.2,205803.5,206676.8,207550.1,208423.4,209296.7,210170,160.3,161.31,162.32,163.33,164.34,165.35,166.36,167.37,168.38,169.39,170.4,171.13,171.86,172.59,173.32,174.05,174.78,175.51,176.24,176.97,177.7
"Springfield, MA MSA",44140,529519,535760.3,542001.6,548242.9,554484.2,560725.5,566966.8,573208.1,579449.4,585690.7,591932,602033,612134,622235,632336,642437,652538,662639,672740,682841,692942,891.1,882.46,873.82,865.18,856.54,847.9,839.26,830.62,821.98,813.34,804.7,761.81,718.92,676.03,633.14,590.25,547.36,504.47,461.58,418.69,375.8
"Springfield, MO MSA",44180,240593,249105.8,257618.6,266131.4,274644.2,283157,291669.8,300182.6,308695.4,317208.2,325721,336820.1,347919.2,359018.3,370117.4,381216.5,392315.6,403414.7,414513.8,425612.9,436712,194.3,192.65,191,189.35,187.7,186.05,184.4,182.75,181.1,179.45,177.8,174.54,171.28,168.02,164.76,161.5,158.24,154.98,151.72,148.46,145.2
"St. Cloud, MN MSA",41060,190921,188568.1,186215.2,183862.3,181509.4,179156.5,176803.6,174450.7,172097.8,169744.9,167392,169562.1,171732.2,173902.3,176072.4,178242.5,180412.6,182582.7,184752.8,186922.9,189093,87.2,88.03,88.86,89.69,90.52,91.35,92.18,93.01,93.84,94.67,95.5,96.75,98,99.25,100.5,101.75,103,104.25,105.5,106.75,108
"St. Joseph, MO MSA",41140,83083,85023.7,86964.4,88905.1,90845.8,92786.5,94727.2,96667.9,98608.6,100549.3,102490,104973.9,107457.8,109941.7,112425.6,114909.5,117393.4,119877.3,122361.2,124845.1,127329,202.8,194.65,186.5,178.35,170.2,162.05,153.9,145.75,137.6,129.45,121.3,116.86,112.42,107.98,103.54,99.1,94.66,90.22,85.78,81.34,76.9
"St. Louis, MO--IL MSA",41180,2444099,2460049.8,2476000.6,2491951.4,2507902.2,2523853,2539803.8,2555754.6,2571705.4,2587656.2,2603607,2624535.9,2645464.8,2666393.7,2687322.6,2708251.5,2729180.4,2750109.3,2771038.2,2791967.1,2812896,458.5,453.38,448.26,443.14,438.02,432.9,427.78,422.66,417.54,412.42,407.3,399.19,391.08,382.97,374.86,366.75,358.64,350.53,342.42,334.31,326.2
"Stamford--Norwalk, CT PMSA",,202557,217656.9,232756.8,247856.7,262956.6,278056.5,293156.4,308256.3,323356.2,338456.1,353556,,,,,,,,,,,1679.9,1680.18,1680.46,1680.74,1681.02,1681.3,1681.58,1681.86,1682.14,1682.42,1682.7,,,,,,,,,,
"State College, PA MSA",44300,123786,124983.2,126180.4,127377.6,128574.8,129772,130969.2,132166.4,133363.6,134560.8,135758,137581.2,139404.4,141227.6,143050.8,144874,146697.2,148520.4,150343.6,152166.8,153990,111.8,112.88,113.96,115.04,116.12,117.2,118.28,119.36,120.44,121.52,122.6,124.21,125.82,127.43,129.04,130.65,132.26,133.87,135.48,137.09,138.7
"Steubenville--Weirton, OH--WV MSA",44600,142523,141471.5,140420,139368.5,138317,137265.5,136214,135162.5,134111,133059.5,132008,131252.6,130497.2,129741.8,128986.4,128231,127475.6,126720.2,125964.8,125209.4,124454,245.1,243.3,241.5,239.7,237.9,236.1,234.3,232.5,230.7,228.9,227.1,225.84,224.58,223.32,222.06,220.8,219.54,218.28,217.02,215.76,214.5
"Stockton--Lodi, CA MSA",44700,480628,488925,497222,505519,513816,522113,530410,538707,547004,555301,563598,575768.8,587939.6,600110.4,612281.2,624452,636622.8,648793.6,660964.4,673135.2,685306,343.5,349.43,355.36,361.29,367.22,373.15,379.08,385.01,390.94,396.87,402.8,411.78,420.76,429.74,438.72,447.7,456.68,465.66,474.64,483.62,492.6
"Sumter, SC MSA",44940,,,,,,,,,,,104646,104927,105208,105489,105770,106051,106332,106613,106894,107175,107456,,,,,,,,,,,157.3,157.73,158.16,158.59,159.02,159.45,159.88,160.31,160.74,161.17,161.6
"Syracuse, NY MSA",45060,659864,667089.3,674314.6,681539.9,688765.2,695990.5,703215.8,710441.1,717666.4,724891.7,732117,725163,718209,711255,704301,697347,690393,683439,676485,669531,662577,276.1,272.24,268.38,264.52,260.66,256.8,252.94,249.08,245.22,241.36,237.5,241.53,245.56,249.59,253.62,257.65,261.68,265.71,269.74,273.77,277.8
"Tacoma, WA PMSA",,586203,597664.7,609126.4,620588.1,632049.8,643511.5,654973.2,666434.9,677896.6,689358.3,700820,,,,,,,,,,,349.9,356.65,363.4,370.15,376.9,383.65,390.4,397.15,403.9,410.65,417.4,,,,,,,,,,
"Tallahassee, FL MSA",45220,233598,238692.1,243786.2,248880.3,253974.4,259068.5,264162.6,269256.7,274350.8,279444.9,284539,292826.4,301113.8,309401.2,317688.6,325976,334263.4,342550.8,350838.2,359125.6,367413,197.5,201.8,206.1,210.4,214.7,219,223.3,227.6,231.9,236.2,240.5,231.84,223.18,214.52,205.86,197.2,188.54,179.88,171.22,162.56,153.9
"Tampa--St. Petersburg--Clearwater, FL MSA",45300,2067959,2100762.8,2133566.6,2166370.4,2199174.2,2231978,2264781.8,2297585.6,2330389.4,2363193.2,2395997,2434721.6,2473446.2,2512170.8,2550895.4,2589620,2628344.6,2667069.2,2705793.8,2744518.4,2783243,809.5,822.36,835.22,848.08,860.94,873.8,886.66,899.52,912.38,925.24,938.1,955.02,971.94,988.86,1005.78,1022.7,1039.62,1056.54,1073.46,1090.38,1107.3
"Terre Haute, IN MSA",45460,130812,132650,134488,136326,138164,140002,141840,143678,145516,147354,149192,151515.3,153838.6,156161.9,158485.2,160808.5,163131.8,165455.1,167778.4,170101.7,172425,171.9,169.37,166.84,164.31,161.78,159.25,156.72,154.19,151.66,149.13,146.6,143.71,140.82,137.93,135.04,132.15,129.26,126.37,123.48,120.59,117.7
"Texarkana, TX--Texarkana, AR MSA",45500,120132,121093.7,122055.4,123017.1,123978.8,124940.5,125902.2,126863.9,127825.6,128787.3,129749,130376.8,131004.6,131632.4,132260.2,132888,133515.8,134143.6,134771.4,135399.2,136027,79.5,80.13,80.76,81.39,82.02,82.65,83.28,83.91,84.54,85.17,85.8,86.22,86.64,87.06,87.48,87.9,88.32,88.74,89.16,89.58,90
"Toledo, OH MSA",45780,614128,614535.5,614943,615350.5,615758,616165.5,616573,616980.5,617388,617795.5,618203,621525.6,624848.2,628170.8,631493.4,634816,638138.6,641461.2,644783.8,648106.4,651429,450,450.3,450.6,450.9,451.2,451.5,451.8,452.1,452.4,452.7,453,447.95,442.9,437.85,432.8,427.75,422.7,417.65,412.6,407.55,402.5
"Topeka, KS MSA",45820,160976,161865.5,162755,163644.5,164534,165423.5,166313,167202.5,168092,168981.5,169871,176270.9,182670.8,189070.7,195470.6,201870.5,208270.4,214670.3,221070.2,227470.1,233870,292.8,294.42,296.04,297.66,299.28,300.9,302.52,304.14,305.76,307.38,309,285.33,261.66,237.99,214.32,190.65,166.98,143.31,119.64,95.97,72.3
