MSA,Target Geo Id2,Population 1990,Population 1991,Population 1992,Population 1993,Population 1994,Population 1995,Population 1996,Population 1997,Population 1998,Population 1999,Population 2000, Population 2001, Population 2002, Population 2003, Population 2004, Population 2005, Population 2006, Population 2007, Population 2008, Population 2009,Population 2010,Density 1990,Density 1991,Density 1992,Density 1993,Density 1994,Density 1995,Density 1996,Density 1997,Density 1998,Density 1999,Density 2000,Density 2001,Density 2002,Density 2003,Density 2004,Density 2005,Density 2006,Density 2007,Density 2008,Density 2009,Density 2010
"Houma, LA MSA",26380,182842,184005.5,185169,186332.5,187496,188659.5,189823,190986.5,192150,193313.5,194477,195847.1,197217.2,198587.3,199957.4,201327.5,202697.6,204067.7,205437.8,206807.9,208178,78.1,78.6,79.1,79.6,80.1,80.6,81.1,81.6,82.1,82.6,83.1,83.84,84.58,85.32,86.06,86.8,87.54,88.28,89.02,89.76,90.5
"Houston, TX PMSA",26420,3301937,3389507.9,3477078.8,3564649.7,3652220.6,3739791.5,3827362.4,3914933.3,4002504.2,4090075.1,4177646,4354561.4,4531476.8,4708392.2,4885307.6,5062223,5239138.4,5416053.8,5592969.2,5769884.6,5946800,620.5,629.02,637.54,646.06,654.58,663.1,671.62,680.14,688.66,697.18,705.7,702.5,699.3,696.1,692.9,689.7,686.5,683.3,680.1,676.9,673.7
"Houston--Galveston--Brazoria, TX CMSA",,3711043,3806895.8,3902748.6,3998601.4,4094454.2,4190307,4286159.8,4382012.6,4477865.4,4573718.2,4669571,,,,,,,,,,,522.1,530.49,538.88,547.27,555.66,564.05,572.44,580.83,589.22,597.61,606,,,,,,,,,,
"Huntington--Ashland, WV--KY--OH MSA",26580,312529,312829.9,313130.8,313431.7,313732.6,314033.5,314334.4,314635.3,314936.2,315237.1,315538,312754.4,309970.8,307187.2,304403.6,301620,298836.4,296052.8,293269.2,290485.6,287702,144.7,144.84,144.98,145.12,145.26,145.4,145.54,145.68,145.82,145.96,146.1,147.98,149.86,151.74,153.62,155.5,157.38,159.26,161.14,163.02,164.9
"Huntsville, AL MSA",26620,238912,249258.4,259604.8,269951.2,280297.6,290644,300990.4,311336.8,321683.2,332029.6,342376,349897.7,357419.4,364941.1,372462.8,379984.5,387506.2,395027.9,402549.6,410071.3,417593,296.8,292.06,287.32,282.58,277.84,273.1,268.36,263.62,258.88,254.14,249.4,255.13,260.86,266.59,272.32,278.05,283.78,289.51,295.24,300.97,306.7
"Indianapolis, IN MSA",26900,1249822,1285588.4,1321354.8,1357121.2,1392887.6,1428654,1464420.4,1500186.8,1535953.2,1571719.6,1607486,1622361.5,1637237,1652112.5,1666988,1681863.5,1696739,1711614.5,1726490,1741365.5,1756241,407,411.93,416.86,421.79,426.72,431.65,436.58,441.51,446.44,451.37,456.3,456.23,456.16,456.09,456.02,455.95,455.88,455.81,455.74,455.67,455.6
"Iowa City, IA MSA",26980,96119,97607.7,99096.4,100585.1,102073.8,103562.5,105051.2,106539.9,108028.6,109517.3,111006,115164,119322,123480,127638,131796,135954,140112,144270,148428,152586,156.4,158.83,161.26,163.69,166.12,168.55,170.98,173.41,175.84,178.27,180.7,175.53,170.36,165.19,160.02,154.85,149.68,144.51,139.34,134.17,129
"Jackson, MI MSA",27100,149756,150622.6,151489.2,152355.8,153222.4,154089,154955.6,155822.2,156688.8,157555.4,158422,158604.6,158787.2,158969.8,159152.4,159335,159517.6,159700.2,159882.8,160065.4,160248,211.9,213.13,214.36,215.59,216.82,218.05,219.28,220.51,221.74,222.97,224.2,224.62,225.04,225.46,225.88,226.3,226.72,227.14,227.56,227.98,228.4
"Jackson, MS MSA",27140,395396,399936.5,404477,409017.5,413558,418098.5,422639,427179.5,431720,436260.5,440801,450626.6,460452.2,470277.8,480103.4,489929,499754.6,509580.2,519405.8,529231.4,539057,167.3,169.24,171.18,173.12,175.06,177,178.94,180.88,182.82,184.76,186.7,182.5,178.3,174.1,169.9,165.7,161.5,157.3,153.1,148.9,144.7
"Jackson, TN MSA",27180,77982,80921.5,83861,86800.5,89740,92679.5,95619,98558.5,101498,104437.5,107377,108181.8,108986.6,109791.4,110596.2,111401,112205.8,113010.6,113815.4,114620.2,115425,140,138.7,137.4,136.1,134.8,133.5,132.2,130.9,129.6,128.3,127,127.99,128.98,129.97,130.96,131.95,132.94,133.93,134.92,135.91,136.9
